Time (s)	Cell 1 (mV)	Cell 2 (mV)	Cell 3 (mV)	bio (mV)
0.0015	-1.80637e-225	-60	-60	-60
0.0115	-1.06947e-227	240	240	240
0.0209	-8.61363e-230	200	200	200
0.0247	-1.22654e-230	-180	-180	-180
0.027	-3.76987e-231	27	27	27
0.0292	-1.21968e-231	-2.7	-2.7	-2.7
0.0314	-3.94607e-232	0.27	0.27	0.27
0.0339	-1.0946e-232	-0.0675	-0.0675	-0.0675
0.0363	-3.19611e-233	0.0135	0.0135	0.0135
0.0382	-1.20606e-233	0.000675	0.000675	0.000675
0.0403	-4.10739e-234	-3.375e-05	-3.375e-05	-3.375e-05
0.0426	-1.26243e-234	5.0625e-06	5.0625e-06	5.0625e-06
0.0447	-4.29936e-235	-2.53125e-07	-2.53125e-07	-2.53125e-07
0.0471	-1.25537e-235	5.0625e-08	5.0625e-08	5.0625e-08
0.0496	-3.48226e-236	-1.26563e-08	-1.26563e-08	-1.26563e-08
0.0513	-1.456e-236	-1.89844e-09	-1.89844e-09	-1.89844e-09
0.0532	-5.49428e-237	-9.49219e-11	-9.49219e-11	-9.49219e-11
0.0553	-1.87114e-237	4.74609e-12	4.74609e-12	4.74609e-12
0.0577	-5.46352e-238	-9.49219e-13	-9.49219e-13	-9.49219e-13
0.0594	-2.28441e-238	-1.42383e-13	-1.42383e-13	-1.42383e-13
0.0611	-9.55159e-239	-2.13574e-14	-2.13574e-14	-2.13574e-14
0.0631	-3.42411e-239	0	0	0
0.0651	-1.22749e-239	0	0	0
0.0668	-5.13241e-240	0	0	0
0.0684	-2.25891e-240	0	0	0
0.0701	-9.44496e-241	0	0	0
0.073	-2.13395e-241	0	0	0
0.0746	-9.39209e-242	0	0	0
0.0762	-4.13371e-242	0	0	0
0.078	-1.64197e-242	0	0	0
0.0797	-6.8654e-243	0	0	0
0.0821	-2.00462e-243	0	0	0
0.0839	-7.96265e-244	0	0	0
0.0857	-3.16288e-244	0	0	0
0.0876	-1.19352e-244	0	0	0
0.0897	-4.06468e-245	0	0	0
0.0913	-1.78897e-245	0	0	0
0.0936	-5.49854e-246	0	0	0
0.096	-1.60551e-246	0	0	0
0.0982	-5.19437e-247	0	0	0
0.0998	-2.28618e-247	0	0	0
0.1014	-1.00621e-247	0	0	0
0.1031	-4.20717e-248	0	0	0
0.1049	-1.67115e-248	0	0	0
0.1071	-5.40672e-249	0	0	0
0.1088	-2.26066e-249	0	0	0
0.1106	-8.97966e-250	0	0	0
0.1134	-2.13561e-250	0	0	0
0.1151	-8.9294e-251	0	0	0
0.1167	-3.93007e-251	0	0	0
0.1184	-1.64324e-251	0	0	0
0.1202	-6.52719e-252	0	0	0
0.1227	-1.81057e-252	0	0	0
0.1244	-7.57038e-253	0	0	0
0.1262	-3.00706e-253	0	0	0
0.1284	-9.72886e-254	0	0	0
0.1304	-3.48766e-254	0	0	0
0.1322	-1.38535e-254	0	0	0
0.1353	-2.82482e-255	0	0	0
0.1382	-6.38227e-256	0	0	0
0.1411	-1.44198e-256	0	0	0
0.1432	-4.91084e-257	0	0	0
0.1452	-1.76047e-257	0	0	0
0.1478	-4.63918e-258	0	0	0
0.1495	-1.93974e-258	0	0	0
0.1514	-7.31966e-259	0	0	0
0.1549	-1.21567e-259	0	0	0
0.1567	-4.82883e-260	0	0	0
0.1585	-1.91808e-260	0	0	0
0.1602	-8.01989e-261	0	0	0
0.1628	-2.1134e-261	0	0	0
0.1646	-8.39473e-262	0	0	0
0.1662	-3.69475e-262	0	0	0
0.168	-1.46761e-262	0	0	0
0.1698	-5.82954e-263	0	0	0
0.1723	-1.61705e-263	0	0	0
0.1741	-6.42317e-264	0	0	0
0.1758	-2.68566e-264	0	0	0
0.1777	-1.01344e-264	0	0	0
0.1797	-3.63305e-265	0	0	0
0.1813	-1.599e-265	0	0	0
0.1831	-6.35147e-266	0	0	0
0.1851	-2.27691e-266	0	0	0
0.1875	-6.64833e-267	0	0	0
0.1891	-2.92611e-267	0	0	0
0.1907	-1.28786e-267	0	0	0
0.1924	-5.3848e-268	0	0	0
0.1942	-2.13892e-268	0	0	0
0.1962	-7.66772e-269	0	0	0
0.1979	-3.20603e-269	0	0	0
0.1997	-1.27348e-269	0	0	0
0.2014	-5.32468e-270	0	0	0
0.2039	-1.47701e-270	0	0	0
0.2055	-6.50072e-271	0	0	0
0.2073	-2.58218e-271	0	0	0
0.209	-1.07966e-271	0	0	0
0.2108	-4.28857e-272	0	0	0
0.2132	-1.25222e-272	0	0	0
0.2151	-4.72528e-273	0	0	0
0.2169	-1.87695e-273	0	0	0
0.2187	-7.45551e-274	0	0	0
0.2212	-2.06808e-274	0	0	0
0.223	-8.21471e-275	0	0	0
0.2248	-3.263e-275	0	0	0
0.2266	-1.29611e-275	0	0	0
0.2291	-3.59528e-276	0	0	0
0.2308	-1.50326e-276	0	0	0
0.2326	-5.97116e-277	0	0	0
0.235	-1.74351e-277	0	0	0
0.2374	-5.09087e-278	0	0	0
0.2394	-1.825e-278	0	0	0
0.2412	-7.24918e-279	0	0	0
0.2443	-1.47816e-279	0	0	0
0.246	-6.18047e-280	0	0	0
0.2478	-2.45497e-280	0	0	0
0.2496	-9.7515e-281	0	0	0
0.2513	-4.0773e-281	0	0	0
0.2537	-1.19053e-281	0	0	0
0.2557	-4.26787e-282	0	0	0
0.2575	-1.69526e-282	0	0	0
0.2593	-6.73381e-283	0	0	0
0.2614	-2.29328e-283	0	0	0
0.2633	-8.65377e-284	0	0	0
0.2653	-3.10225e-284	0	0	0
0.2672	-1.17065e-284	0	0	0
0.2697	-3.24725e-285	0	0	0
0.2714	-1.35774e-285	0	0	0
0.2733	-5.12349e-286	0	0	0
0.2753	-1.8367e-286	0	0	0
0.2777	-5.36296e-287	0	0	0
0.2794	-2.24236e-287	0	0	0
0.2811	-9.37577e-288	0	0	0
0.284	-2.11832e-288	0	0	0
0.2858	-8.41427e-289	0	0	0
0.2875	-3.51818e-289	0	0	0
0.2893	-1.39747e-289	0	0	0
0.2911	-5.55095e-290	0	0	0
0.2936	-1.53978e-290	0	0	0
0.2953	-6.43812e-291	0	0	0
0.2972	-2.42945e-291	0	0	0
0.2991	-9.16761e-292	0	0	0
